Date, Display Spend ,Paid Search Spend,Facebook Spend, National TV Spend ,YouTube Spend,Retail Sales,Brand Awareness
5/13/18,"2,793 ","1,942 ",506 ,"12,925 ","3,929 "," 1,074 ", 0.25 
5/20/18,"2,776 ","2,267 ",452 ,"30,957 ","2,271 "," 1,028 ", 0.25 
5/27/18,"2,696 ","6,642 ",431 ,"88,115 ","2,339 "," 2,079 ", 0.25 
6/3/18,"2,395 ","1,908 ",493 ,"64,471 ","2,310 ", 932 , 0.26 
6/10/18,"4,064 ","4,552 ",597 ,"42,852 ","1,734 "," 1,771 ", 0.26 
6/17/18,"3,186 ","2,336 ",0 ,"91,512 ",159 ," 1,012 ", 0.26 
6/24/18,"2,514 ","6,977 ",0 ,"14,202 ",0 ," 1,985 ", 0.26 
7/1/18,"3,089 ","7,100 ",0 ,"61,450 ",0 ," 2,121 ", 0.26 
7/8/18,"4,241 ","9,133 ",0 ,0 ,0 ," 2,654 ", 0.26 
7/15/18,"2,268 ","5,406 ",659 ,0 ,0 ," 1,647 ", 0.26 
7/22/18,"3,412 ","9,973 ",884 ,0 ,0 ," 2,872 ", 0.26 
7/29/18,"3,494 ","4,648 ",573 ,0 ,"1,744 "," 1,697 ", 0.25 
8/5/18,"2,144 ","8,645 ",865 ,0 ,576 ," 2,432 ", 0.25 
8/12/18,"4,043 ","8,344 ",949 ,"33,419 ","3,192 "," 2,743 ", 0.25 
8/19/18,"4,770 ","7,607 ",475 ,"48,859 ","2,180 "," 2,591 ", 0.25 
8/26/18,"3,245 ","2,011 ",883 ,"95,088 ","4,345 "," 1,250 ", 0.25 
9/2/18,"4,203 ","2,014 ",888 ,"54,805 ","1,005 "," 1,216 ", 0.27 
9/9/18,"6,402 ","4,804 ",949 ,"23,770 ","3,472 "," 2,226 ", 0.27 
9/16/18,"9,429 ","6,821 ",949 ,"67,175 ","2,701 "," 3,008 ", 0.27 
9/23/18,"4,591 ","5,077 ",548 ,"92,744 ","4,188 "," 2,119 ", 0.27 
9/30/18,"4,610 ","9,475 ",392 ,"39,445 ","1,470 "," 2,983 ", 0.27 
